id,x,y
0,3789.176,2927.437
1,3766.263,2899.015
2,3833.327,2907.364
3,3786.358,2884.795
4,3818.432,2895.296
5,3812.71,2913.553
6,3825.729,2895.899
7,3785.528,2925.887
8,3806.729,2861.009
9,3771.604,2912.137
10,3784.595,2881.924
11,3773.871,2917.628
12,3807.412,2913.678
13,3813.378,2908.44
14,3825.828,2872.463
15,3780.362,2890.366
16,3763.032,2908.021
17,3802.92,2924.295
18,3793.718,2885.832
19,3766.467,2883.43
20,3781.045,2896.053
21,3765.582,2865.293
22,3805.615,2907.125
23,3761.132,2862.368
24,3784.214,2926.607
25,3791.764,2867.767
26,3781.307,2873.242
27,3805.669,2887.021
28,3816.987,2886.151
29,3836.212,2910.519
30,3825.873,2893.688
31,3831.274,2860.318
32,3834.063,2881.521
33,3810.277,2911.191
34,3813.841,2901.887
35,3791.544,2928.069
36,3812.391,2921.21
37,3805.005,2913.033
38,3765.659,2914.833
39,3820.365,2925.747
40,3819.705,2861.267
41,3820.658,2858.906
42,3804.684,2920.261
43,3761.349,2894.999
44,3783.681,2858.597
45,3807.404,2885.935
46,3767.626,2864.418
47,3809.438,2866.126
48,3759.085,2895.322
49,3829.585,2859.754
50,3836.166,2920.59
51,3813.605,2895.496
52,3778.151,2889.902
53,3779.698,2912.67
54,3814.123,2907.255
55,3824.11,2890.69
56,3777.696,2864.568
57,3788.105,2893.325
58,3780.173,2857.863
59,3811.965,2875.574
60,3836.099,2863.942
61,3805.612,2884.761
62,3776.878,2870.855
63,3798.958,2868.039
64,3767.055,2886.614
65,3801.395,2901.778
66,3816.97,2873.396
67,3818.432,2888.689
68,3789.813,2895.13
69,3760.605,2906.276
70,3766.597,2878.971
71,3769.907,2866.723
72,3792.475,2904.903
73,3820.499,2902.8
74,3802.161,2914.273
