id,x,y
0,657471.068,153650.446
1,660287.385,144554.394
2,620300.025,136357.59
3,615119.261,128044.492
4,630930.929,147968.208
5,646728.74,139391.034
6,650916.73,158403.444
7,629978.212,154965.456
8,629233.529,143912.755
9,627525.335,158150.774
10,633961.838,159634.296
11,615676.907,152905.435
12,647017.633,142430.634
13,622272.589,129110.903
14,637350.928,132859.088
15,635223.675,155106.939
16,626477.905,144660.507
17,632658.08,131631.746
18,624026.229,132088.947
19,639837.447,133437.561
20,626265.075,138425.417
21,638673.867,137604.25
22,635218.149,131268.503
23,662961.793,138533.329
24,653468.468,162366.983
25,660157.728,157252.818
26,605728.203,155525.507
27,659837.708,130616.047
28,637411.351,159462.467
29,643376.399,128743.462
30,662292.007,134700.758
31,630365.973,160406.297
32,636184.987,152967.54
33,624898.996,153231.059
34,635470.403,135146.235
35,657377.087,145596.048
36,631117.252,150105.908
37,616953.873,153376.794
38,638175.565,152052.946
39,629943.593,129343.303
40,608675.887,151779.131
41,636038.605,160489.163
42,645977.138,158101.501
43,611296.91,135161.508
44,649778.728,155762.504
45,652422.299,154202.388
46,661926.559,140005.494
47,654584.726,146254.716
48,663696.903,131035.434
49,628413.954,137002.517
50,633019.308,147367.968
51,650359.501,156756.427
52,612116.459,155172.87
53,659857.275,144694.13
54,646845.124,147901.338
55,629510.35,137765.438
56,627418.141,152495.424
57,629983.318,154233.685
58,659439.189,154951.893
59,607423.096,130191.232
60,641549.538,156986.575
61,652904.319,132854.594
62,612158.936,140842.28
